#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,2,4,10,70,0.9,1.7,99,99,99,999,1024.7,13,13.6,6.6,99,99
2022,1,2,4,20,77,0.8,1.3,99,99,99,999,1024.9,12.9,13.6,6.6,99,99
2022,1,2,4,30,82,0.9,1.7,99,99,99,999,1025,12.9,13.6,6.5,99,99
2022,1,2,4,40,72,0.9,1.5,0.82,9.09,6.24,248,1024.9,13,13.6,6.6,99,99
2022,1,2,4,50,80,1.2,1.8,99,99,99,999,1025,13.1,13.6,5.9,99,99
2022,1,2,5,0,112,1.3,2.1,99,99,99,999,1025.1,13.1,13.6,6.3,99,99
2022,1,2,5,10,194,1.8,2.4,99,99,99,999,1025.2,13.1,13.6,8,99,99
2022,1,2,5,20,203,0.3,1.1,99,99,99,999,1025.2,12.8,13.6,7.6,99,99
2022,1,2,5,30,154,0.1,0.7,99,99,99,999,1025.2,12.6,13.6,6.9,99,99
2022,1,2,5,40,350,0.2,0.7,0.84,8.33,6.25,251,1025.1,12.6,13.6,6.5,99,99
2022,1,2,5,50,1,0.4,1.1,99,99,99,999,1025.2,12.8,13.6,5.9,99,99
2022,1,2,6,0,40,0.6,2.8,99,99,99,999,1025.2,12.8,13.6,6.2,99,99
2022,1,2,6,10,59,2.1,2.9,99,99,99,999,1025.2,12.9,13.6,8.2,99,99
2022,1,2,6,20,61,1.8,2.5,99,99,99,999,1025.1,12.8,13.6,8,99,99
2022,1,2,6,30,70,1.5,2.3,99,99,99,999,1025.1,12.8,13.6,7.9,99,99
2022,1,2,6,40,83,1.9,2.8,0.77,10,6.22,247,1025,12.8,13.6,6.8,99,99
2022,1,2,6,50,90,1.6,2.4,99,99,99,999,1025,12.9,13.6,6.9,99,99
2022,1,2,7,0,100,2.2,3.3,99,99,99,999,1024.9,12.9,13.6,6.6,99,99
2022,1,2,7,10,82,3,4.2,99,99,99,999,1024.9,13,13.6,3.8,99,99
2022,1,2,7,20,78,3.8,5.5,99,99,99,999,1024.8,13.3,13.5,4.1,99,99
2022,1,2,7,30,80,4.8,7.1,99,99,99,999,1024.7,13.4,13.5,4.1,99,99
2022,1,2,7,40,89,6.6,8.5,0.76,8.33,4.89,264,1024.6,13.5,13.5,3.9,99,99
2022,1,2,7,50,91,7.1,8.7,99,99,99,999,1024.6,13.5,13.5,3.9,99,99
2022,1,2,8,0,93,6.7,8.1,99,99,99,999,1024.6,13.5,13.5,3.9,99,99
2022,1,2,8,10,96,6.5,8.3,99,99,99,999,1024.7,13.5,13.5,4.4,99,99
2022,1,2,8,20,98,6.9,8.2,99,99,99,999,1024.7,13.5,13.5,3.9,99,99
2022,1,2,8,30,100,6.8,8.2,99,99,99,999,1024.6,13.5,13.5,3.9,99,99
2022,1,2,8,40,97,6.6,8.4,1.01,4.35,4.24,121,1024.7,13.5,13.5,4.2,99,99
2022,1,2,8,50,100,7.1,8.8,99,99,99,999,1024.7,13.5,13.4,3.4,99,99
2022,1,2,9,0,100,6.7,7.9,99,99,99,999,1024.9,13.5,13.4,3.5,99,99
2022,1,2,9,10,101,6.4,8.3,99,99,99,999,1024.9,13.6,13.5,3.8,99,99
2022,1,2,9,20,104,6.6,8.2,99,99,99,999,1025,13.6,13.5,4,99,99
2022,1,2,9,30,109,6.8,8.2,99,99,99,999,1025.1,13.5,13.5,3.8,99,99
2022,1,2,9,40,111,6.8,8.5,0.94,3.85,4.05,109,1025.2,13.5,13.5,4.1,99,99
2022,1,2,9,50,115,6.9,8.8,99,99,99,999,1025.3,13.6,13.5,3.4,99,99
2022,1,2,10,0,127,6.9,8.6,99,99,99,999,1025.5,13.5,13.5,3.2,99,99
2022,1,2,10,10,135,6.6,8.2,99,99,99,999,1025.5,13.4,13.5,3.6,99,99
2022,1,2,10,20,129,6.7,8.7,99,99,99,999,1025.5,13.3,999,3,99,99
2022,1,2,10,30,124,6.8,8.6,99,99,99,999,1025.5,13.2,13.4,2.9,99,99
2022,1,2,10,40,121,6.9,8.3,1,13.79,4.23,266,1025.5,13.2,13.4,3,99,99
2022,1,2,10,50,114,7.2,8.9,99,99,99,999,1025.5,13.1,13.4,2.9,99,99
2022,1,2,11,0,118,7,8.4,99,99,99,999,1025.4,13.1,13.4,2.7,99,99
2022,1,2,11,10,116,7.3,8.9,99,99,99,999,1025.3,13,13.4,2.8,99,99
2022,1,2,11,20,109,7.5,9,99,99,99,999,1025.3,12.9,13.4,3,99,99
2022,1,2,11,30,107,7.9,10,99,99,99,999,1025.2,12.9,13.4,3.2,99,99
2022,1,2,11,40,108,8,10,1.05,4.17,4.18,113,1025.3,12.8,13.4,3.2,99,99
2022,1,2,11,50,107,8.5,10.3,99,99,99,999,1025,12.8,13.4,2.3,99,99
2022,1,2,12,0,106,8.6,10.6,99,99,99,999,1025,12.8,13.4,2.4,99,99
2022,1,2,12,10,106,8.6,10.5,99,99,99,999,1025,12.8,13.4,2.2,99,99
2022,1,2,12,20,107,8.5,10,99,99,99,999,1025,12.8,13.4,2.4,99,99
2022,1,2,12,30,102,8.3,10.1,99,99,99,999,1025,12.8,13.4,1.9,99,99
2022,1,2,12,40,101,8.5,10,1.03,13.79,4.15,259,1025,12.8,13.3,1.4,99,99
2022,1,2,12,50,103,8.1,9.7,99,99,99,999,1025,12.8,13.3,2.2,99,99
2022,1,2,13,0,99,7.6,9.5,99,99,99,999,1025.1,12.8,13.3,2.2,99,99
2022,1,2,13,10,100,7.6,9.2,99,99,99,999,1025.1,12.7,13.3,1.8,99,99
2022,1,2,13,20,103,7,8.6,99,99,99,999,1025.2,12.7,13.3,2,99,99
2022,1,2,13,30,104,6.4,7.7,99,99,99,999,1025.3,12.7,13.4,1.8,99,99
2022,1,2,13,40,105,6.3,7.6,1,4.17,4.15,101,1025.3,12.7,13.4,1.1,99,99
2022,1,2,13,50,105,6,7.6,99,99,99,999,1025.3,12.7,13.4,1.5,99,99
2022,1,2,14,0,106,5.8,7.4,99,99,99,999,1025.5,12.7,13.4,1.6,99,99
2022,1,2,14,10,107,5.6,7,99,99,99,999,1025.5,12.6,13.4,1.9,99,99
2022,1,2,14,20,104,6,7.6,99,99,99,999,1025.5,12.6,13.4,1.3,99,99
2022,1,2,14,30,104,6.2,7.5,99,99,99,999,1025.5,12.6,13.4,1.4,99,99
2022,1,2,14,40,105,6.2,7.4,0.91,10,4.1,248,1025.6,12.6,13.4,2.1,99,99
2022,1,2,14,50,104,6.7,8.3,99,99,99,999,1025.6,12.6,13.5,1.3,99,99
2022,1,2,15,0,102,6.6,7.9,99,99,99,999,1025.5,12.6,13.5,1,99,99
2022,1,2,15,10,106,6.8,8.4,99,99,99,999,1025.5,12.5,13.5,1,99,99
2022,1,2,15,20,107,7,8.4,99,99,99,999,1025.6,12.6,13.5,0.9,99,99
2022,1,2,15,30,114,6.8,8.6,99,99,99,999,1025.8,12.6,13.5,1,99,99
2022,1,2,15,40,118,6.5,7.9,0.97,3.85,4.17,106,1025.8,12.5,13.5,1,99,99
2022,1,2,15,50,118,6.6,8.4,99,99,99,999,1025.8,12.6,13.5,1.3,99,99
2022,1,2,16,0,115,6.5,7.6,99,99,99,999,1025.9,12.6,13.5,1.6,99,99
2022,1,2,16,10,113,6.5,8.4,99,99,99,999,1026,12.6,13.5,1.1,99,99
2022,1,2,16,20,106,6.1,7.7,99,99,99,999,1026,12.6,13.5,0.9,99,99
2022,1,2,16,30,98,6.1,7.7,99,99,99,999,1026.1,12.6,13.5,0.7,99,99
2022,1,2,16,40,98,6,7.6,0.92,13.79,4.22,249,1026.1,12.6,13.5,0.8,99,99
2022,1,2,16,50,101,5.8,7,99,99,99,999,1026.3,12.6,13.5,1.2,99,99
2022,1,2,17,0,103,5.5,7.4,99,99,99,999,1026.4,12.6,13.5,1,99,99
2022,1,2,17,10,106,5.3,6.5,99,99,99,999,1026.5,12.6,13.5,1.6,99,99
2022,1,2,17,20,113,5.8,7.3,99,99,99,999,1026.6,12.6,13.5,0.9,99,99
2022,1,2,17,30,113,5.4,6.8,99,99,99,999,1026.6,12.7,13.4,1.7,99,99
2022,1,2,17,40,116,6.4,8,0.93,13.79,4.41,228,1026.7,12.8,13.4,1.5,99,99
2022,1,2,17,50,115,6.8,8.1,99,99,99,999,1026.6,12.8,13.4,1.7,99,99
2022,1,2,18,0,115,6.9,8.6,99,99,99,999,1026.7,12.8,13.4,1.6,99,99
2022,1,2,18,10,108,6.3,8.1,99,99,99,999,1026.7,12.9,13.4,2.4,99,99
2022,1,2,18,20,101,6.5,8,99,99,99,999,1026.7,12.9,13.4,2.5,99,99
2022,1,2,18,30,102,6.6,7.8,99,99,99,999,1026.6,12.9,13.4,2.2,99,99
2022,1,2,18,40,96,6.1,7.5,0.95,12.9,4.33,253,1026.6,12.9,13.4,2.6,99,99
2022,1,2,18,50,89,5.9,7.4,99,99,99,999,1026.4,12.8,13.4,3.3,99,99
2022,1,2,19,0,84,5.5,6.9,99,99,99,999,1026.4,12.7,13.4,4.3,99,99
2022,1,2,19,10,80,5.2,6.5,99,99,99,999,1026.1,12.7,13.5,4.4,99,99
2022,1,2,19,20,76,5.1,6.3,99,99,99,999,1025.9,12.7,13.5,3.8,99,99
2022,1,2,19,30,75,5.2,6.5,99,99,99,999,1025.6,12.9,13.5,2.7,99,99
2022,1,2,19,40,74,5.5,6.6,0.84,12.9,4.46,265,1025.3,13,13.5,1.9,99,99
2022,1,2,19,50,70,5.2,6.2,99,99,99,999,1025.1,13.1,13.5,2.3,99,99
2022,1,2,20,0,79,5.7,7.9,99,99,99,999,1024.9,13.3,13.5,1.8,99,99
2022,1,2,20,10,84,5.3,6.9,99,99,99,999,1024.7,13.4,13.5,2.2,99,99
